the,22212
be,12280
of,11240
to,8961
a,8256
in,8130
and,6972
that,5524
it,3919
have,2852
for,2529
s,2353
they,2163
you,2125
i,2091
on,1753
by,1647
from,1579
but,1532
do,1518
with,1506
not,1476
so,1464
or,1390
this,1366
an,1249
can,1229
about,1216
at,1209
passage,1197
we,1187
student,1183
their,1135
what,1072
which,1060
well,981
mean,980
t,970
more,963
there,952
professor,949
one,927
some,908
water,825
use,824
make,812
all,785
than,777
other,769
when,762
like,752
paragraph,747
know,737
time,727
because,711
these,688
would,687
people,681
how,655
sentence,649
most,637
year,621
where,610
if,608
plant,601
change,593
could,592
animal,585
follow,577
now,557
out,555
them,544
get,538
word,528
specie,527
way,519
into,518
think,513
find,513
idea,509
just,498
important,479
up,473
accord,472
area,451
closest,448
look,440
why,439
first,427
also,426
no,426
then,426
part,424
very,423
new,423
between,421
right,414
many,414
take,409
form,405
need,401
may,398
only,395
much,393
work,390
different,388
class,380
choice,374
become,372
even,370
provide,367
will,366
see,365
go,364
increase,363
really,360
over,359
large,352
he,350
answer,346
rock,345
art,342
express,337
say,337
information,335
two,332
your,331
study,328
who,327
century,325
those,325
good,322
come,321
call,317
point,314
summary,313
period,312
earth,312
produce,311
population,308
best,306
leave,305
ice,302
food,300
thing,299
during,296
such,295
ok,291
same,291
show,288
long,287
example,287
land,280
question,277
live,274
before,269
don,266
grow,262
want,262
place,259
my,259
group,259
surface,257
lot,257
another,252
through,252
indicate,251
give,250
tree,249
number,248
state,248
lecture,247
below,247
move,246
listen,244
back,243
present,243
sound,240
cause,240
human,238
any,237
evidence,237
high,236
begin,236
might,236
early,235
actually,234
soil,234
paint,232
ve,232
help,231
develop,229
talk,228
great,226
occur,225
start,223
support,223
after,221
essential,220
ll,218
kind,218
three,217
development,217
each,216
child,216
play,215
me,215
build,213
type,213
heat,213
something,213
our,212
narrator,211
explain,211
problem,210
climate,209
around,209
result,206
too,206
let,205
light,204
system,204
bird,204
energy,203
theory,196
today,195
temperature,194
process,194
course,192
city,192
small,190
lead,190
sun,190
le,189
region,188
material,186
while,186
few,186
ago,185
oh,185
age,184
able,184
seem,183
here,183
activity,182
